timestamp,value,timeseries_id,station_name,pollutant_name,pollutant_std,latitude,longitude
2023-04-01 00:00:00,,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 01:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 02:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 03:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 04:00:00,0.03,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 05:00:00,0.029,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 06:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 07:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 08:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 09:00:00,0.024,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 10:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 11:00:00,0.024,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 12:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 13:00:00,0.028,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 14:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 15:00:00,0.017,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 16:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 17:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 18:00:00,0.039,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 19:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 20:00:00,0.029,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 21:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 22:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-01 23:00:00,0.028,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 00:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 01:00:00,0.019,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 02:00:00,0.018,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 03:00:00,0.021,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 04:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 05:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 06:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 07:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 08:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 09:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 10:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 11:00:00,0.023,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 12:00:00,0.034,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 13:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 14:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 15:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 16:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 17:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 18:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 19:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 20:00:00,0.028,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 21:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 22:00:00,0.023,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-02 23:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-03 00:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-03 01:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-03 02:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-03 03:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-03 04:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-03 05:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-03 06:00:00,0.027,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-03 07:00:00,0.011,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-03 08:00:00,0.042,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-03 09:00:00,0.033,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-03 10:00:00,0.029,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
2023-04-03 11:00:00,0.038,361,London Marylebone Road,1.3 Butadiene,"1,3-Butadiene",51.52253,-0.1546109999949009
